,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_steps,strong_params,strong_steps
323,0.635,0.715,0.635,0.62,2.8,31000.0,0.41,91000.0
324,0.635,0.635,0.635,0.58,2.8,61000.0,1.4,1000.0
325,0.635,0.635,0.635,0.53,2.8,61000.0,1.4,121000.0
326,0.635,0.605,0.635,0.58,2.8,61000.0,1.4,31000.0
327,0.635,0.635,0.635,0.59,2.8,61000.0,1.4,61000.0
328,0.635,0.57,0.635,0.5,2.8,61000.0,1.4,91000.0
329,0.635,0.65,0.635,0.57,2.8,61000.0,0.16,1000.0
330,0.635,0.635,0.635,0.485,2.8,61000.0,0.16,121000.0
331,0.635,0.675,0.635,0.485,2.8,61000.0,0.16,31000.0
332,0.635,0.63,0.635,0.49,2.8,61000.0,0.16,61000.0
333,0.635,0.63,0.635,0.605,2.8,61000.0,0.16,91000.0
334,0.635,0.64,0.635,0.535,2.8,61000.0,1.0,1000.0
335,0.635,0.57,0.635,0.52,2.8,61000.0,1.0,121000.0
336,0.635,0.655,0.635,0.55,2.8,61000.0,1.0,31000.0
337,0.635,0.665,0.635,0.55,2.8,61000.0,1.0,61000.0
338,0.635,0.63,0.635,0.47,2.8,61000.0,1.0,91000.0
339,0.635,0.64,0.635,0.595,2.8,61000.0,2.8,1000.0
340,0.635,0.57,0.635,0.525,2.8,61000.0,2.8,121000.0
341,0.635,0.635,0.635,0.5,2.8,61000.0,2.8,31000.0
342,0.635,0.635,0.635,0.54,2.8,61000.0,2.8,61000.0
343,0.635,0.635,0.635,0.475,2.8,61000.0,2.8,91000.0
344,0.635,0.565,0.635,0.58,2.8,61000.0,0.41,1000.0
345,0.635,0.58,0.635,0.435,2.8,61000.0,0.41,121000.0
346,0.635,0.66,0.635,0.595,2.8,61000.0,0.41,31000.0
347,0.635,0.735,0.635,0.61,2.8,61000.0,0.41,61000.0
348,0.635,0.715,0.635,0.49,2.8,61000.0,0.41,91000.0
349,0.59,0.635,0.605,0.575,2.8,91000.0,1.4,1000.0
350,0.59,0.635,0.605,0.58,2.8,91000.0,1.4,121000.0
351,0.59,0.605,0.585,0.55,2.8,91000.0,1.4,31000.0
352,0.59,0.635,0.585,0.58,2.8,91000.0,1.4,61000.0
353,0.59,0.57,0.6,0.56,2.8,91000.0,1.4,91000.0
354,0.59,0.65,0.59,0.57,2.8,91000.0,0.16,1000.0
355,0.59,0.635,0.61,0.545,2.8,91000.0,0.16,121000.0
356,0.59,0.675,0.6,0.555,2.8,91000.0,0.16,31000.0
357,0.59,0.63,0.59,0.565,2.8,91000.0,0.16,61000.0
358,0.59,0.63,0.59,0.555,2.8,91000.0,0.16,91000.0
359,0.59,0.64,0.595,0.505,2.8,91000.0,1.0,1000.0
360,0.59,0.57,0.61,0.56,2.8,91000.0,1.0,121000.0
361,0.59,0.655,0.59,0.57,2.8,91000.0,1.0,31000.0
362,0.59,0.665,0.615,0.56,2.8,91000.0,1.0,61000.0
363,0.59,0.63,0.62,0.595,2.8,91000.0,1.0,91000.0
364,0.59,0.64,0.6,0.575,2.8,91000.0,2.8,1000.0
365,0.59,0.57,0.6,0.55,2.8,91000.0,2.8,121000.0
366,0.59,0.635,0.595,0.535,2.8,91000.0,2.8,31000.0
367,0.59,0.635,0.595,0.56,2.8,91000.0,2.8,61000.0
368,0.59,0.635,0.605,0.55,2.8,91000.0,2.8,91000.0
369,0.59,0.565,0.6,0.605,2.8,91000.0,0.41,1000.0
370,0.59,0.58,0.61,0.5,2.8,91000.0,0.41,121000.0
371,0.59,0.66,0.6,0.585,2.8,91000.0,0.41,31000.0
372,0.59,0.735,0.61,0.59,2.8,91000.0,0.41,61000.0
373,0.59,0.715,0.61,0.535,2.8,91000.0,0.41,91000.0
